LABEL TYPE|LABEL CODE|LABEL DESCRIPTION|LABEL SIZE|LABEL QUANTITY|ARTICLE NUMBER|VENDOR NUM|COLOR CODE|COLOR DESCRIPTION|CARE SYMBOLS CODE 1|CARE SYMBOLS CODE 2|CARE SYMBOLS CODE 3|CARE SYMBOLS CODE 4|CARE SYMBOLS CODE 5|CARE SYMBOLS CODE 6|CARE SYMBOLS CODE 7|EAN-CODE|BATCH NUMBER|STYLE DESCRIPTION (EN)|STYLE DESCRIPTION (FR)|SHAPE|PRODUCT LINE|BRAND|MAIN MATERIAL DESCRIPTION|COU|PO-NUMBER|SEAS|CO|SIZE CODE|SIZE DESCRIPTION|CARE INSTRUCTION 1|CARE INSTRUCTION 2|CARE INSTRUCTION 3|CARE INSTRUCTION 4|CARE INSTRUCTION 5|CARE INSTRUCTION 6|CARE INSTRUCTION 7|Declaration Group 1|DG1 - Comp Desc 1|DG1 - Comp %Age 1|DG1 - Comp Desc 2|DG1 - Comp %Age 2|DG1 - Comp Desc 3|DG1 - Comp %Age 3|DG1 - Comp Desc 4|DG1 - Comp %Age 4|DG1 - Comp Desc 5|DG1 - Comp %Age 5|DG1 - Comp Desc 6|DG1 - Comp %Age 6|DG1 - Comp Desc 7|DG1 - Comp %Age 7|DG1 - Comp Desc 8|DG1 - Comp %Age 8|Declaration Group 2|DG2 - Comp Desc 1|DG2 - Comp %Age 1|DG2 - Comp Desc 2|DG2 - Comp %Age 2|DG2 - Comp Desc 3|DG2 - Comp %Age 3|DG2 - Comp Desc 4|DG2 - Comp %Age 4|DG2 - Comp Desc 5|DG2 - Comp %Age 5|DG2 - Comp Desc 6|DG2 - Comp %Age 6|DG2 - Comp Desc 7|DG2 - Comp %Age 7|DG2 - Comp Desc 8|DG2 - Comp %Age 8|Declaration Group 3|DG3 - Comp Desc 1|DG3 - Comp %Age 1|DG3 - Comp Desc 2|DG3 - Comp %Age 2|DG3 - Comp Desc 3|DG3 - Comp %Age 3|DG3 - Comp Desc 4|DG3 - Comp %Age 4|DG3 - Comp Desc 5|DG3 - Comp %Age 5|DG3 - Comp Desc 6|DG3 - Comp %Age 6|DG3 - Comp Desc 7|DG3 - Comp %Age 7|DG3 - Comp Desc 8|DG3 - Comp %Age 8|Declaration Group 4|DG4 - Comp Desc 1|DG4 - Comp %Age 1|DG4 - Comp Desc 2|DG4 - Comp %Age 2|DG4 - Comp Desc 3|DG4 - Comp %Age 3|DG4 - Comp Desc 4|DG4 - Comp %Age 4|DG4 - Comp Desc 5|DG4 - Comp %Age 5|DG4 - Comp Desc 6|DG4 - Comp %Age 6|DG4 - Comp Desc 7|DG4 - Comp %Age 7|DG4 - Comp Desc 8|DG4 - Comp %Age 8|Declaration Group 5|DG5 - Comp Desc 1|DG5 - Comp %Age 1|DG5 - Comp Desc 2|DG5 - Comp %Age 2|DG5 - Comp Desc 3|DG5 - Comp %Age 3|DG5 - Comp Desc 4|DG5 - Comp %Age 4|DG5 - Comp Desc 5|DG5 - Comp %Age 5|DG5 - Comp Desc 6|DG5 - Comp %Age 6|DG5 - Comp Desc 7|DG5 - Comp %Age 7|DG5 - Comp Desc 8|DG5 - Comp %Age 8|Declaration Group 6|DG6 - Comp Desc 1|DG6 - Comp %Age 1|DG6 - Comp Desc 2|DG6 - Comp %Age 2|DG6 - Comp Desc 3|DG6 - Comp %Age 3|DG6 - Comp Desc 4|DG6 - Comp %Age 4|DG6 - Comp Desc 5|DG6 - Comp %Age 5|DG6 - Comp Desc 6|DG6 - Comp %Age 6|DG6 - Comp Desc 7|DG6 - Comp %Age 7|DG6 - Comp Desc 8|DG6 - Comp %Age 8|Declaration Group 7|DG7 - Comp Desc 1|DG7 - Comp %Age 1|DG7 - Comp Desc 2|DG7 - Comp %Age 2|DG7 - Comp Desc 3|DG7 - Comp %Age 3|DG7 - Comp Desc 4|DG7 - Comp %Age 4|DG7 - Comp Desc 5|DG7 - Comp %Age 5|DG7 - Comp Desc 6|DG7 - Comp %Age 6|DG7 - Comp Desc 7|DG7 - Comp %Age 7|DG7 - Comp Desc 8|DG7 - Comp %Age 8|Declaration Group 8|DG8 - Comp Desc 1|DG8 - Comp %Age 1|DG8 - Comp Desc 2|DG8 - Comp %Age 2|DG8 - Comp Desc 3|DG8 - Comp %Age 3|DG8 - Comp Desc 4|DG8 - Comp %Age 4|DG8 - Comp Desc 5|DG8 - Comp %Age 5|DG8 - Comp Desc 6|DG8 - Comp %Age 6|DG8 - Comp Desc 7|DG8 - Comp %Age 7|DG8 - Comp Desc 8|DG8 - Comp %Age 8|TEXT 1|TEXT 2|TEXT 3|Care Instruction 1|Care Instruction 2|Care Instruction 3|Care Instruction 6|Care Instruction 4|Care Instruction 5|Chinese SIZE|DG1-CIQ1|DG1-CIQ2|DG2-CIQ1|DG2-CIQ2|DG3-CIQ1|DG3-CIQ2|DG4-CIQ1|DG4-CIQ2|DG5-CIQ1|DG5-CIQ2|DG6-CIQ1|DG6-CIQ2|DG7-CIQ1|DG7-CIQ2|DG8-CIQ1|DG8-CIQ2|DGX-CIQ1|DGX-CIQ2|DG1 - SUBCAT|DG2 - SUBCAT|DG3 - SUBCAT|DG4 - SUBCAT|DG5 - SUBCAT|DG6 - SUBCAT|DG7 - SUBCAT|DG8 - SUBCAT|DG Padding - MW1|DG Padding - MW2|DG Padding - MW3|DG Padding - MW4|DG Padding - MW5|DG Padding - MW6|DG Padding - MW7|DG Padding - MW8|DG1-SPECIES|DG1-TANNING|DG1-GROW ORIGIN|DG1-MATNAME|DG2-SPECIES|DG2-TANNING|DG2-GROW ORIGIN|DG2-MATNAME|DG3-SPECIES|DG3-TANNING|DG3-GROW ORIGIN|DG3-MATNAME|DG4-SPECIES|DG4-TANNING|DG4-GROW ORIGIN|DG4-MATNAME|DG5-SPECIES|DG5-TANNING|DG5-GROW ORIGIN|DG5-MATNAME|DG6-SPECIES|DG6-TANNING|DG6-GROW ORIGIN|DG6-MATNAME|DG7-SPECIES|DG7-TANNING|DG7-GROW ORIGIN|DG7-MATNAME|DG8-SPECIES|DG8-TANNING|DG8-GROW ORIGIN|DG8-MATNAME|SALESLINE_DESC|MAT_CODE_DESC|GENERIC_CODE|GENERIC_DESC|MDSE CAT|ORDER REASON H.|Down/Feather|Korean size|||||||||||||||||||||
BARC|C|Chloé With Image|30*124|10|CHC24A02TLT00135W|0000707674|001|Black||||||||7614027457230|IT00|CLOGS, Black, 35, Western|CLOGS, Black, 35, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|35W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|33|CHC24A02TLT00136W|0000707674|001|Black||||||||7614027457247|IT00|CLOGS, Black, 36, Western|CLOGS, Black, 36, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|36W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|46|CHC24A02TLT00137W|0000707674|001|Black||||||||7614027457254|IT00|CLOGS, Black, 37, Western|CLOGS, Black, 37, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|37W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|43|CHC24A02TLT00138W|0000707674|001|Black||||||||7614027457261|IT00|CLOGS, Black, 38, Western|CLOGS, Black, 38, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|38W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|38|CHC24A02TLT00139W|0000707674|001|Black||||||||7614027457278|IT00|CLOGS, Black, 39, Western|CLOGS, Black, 39, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|39W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|29|CHC24A02TLT00140W|0000707674|001|Black||||||||7614027457285|IT00|CLOGS, Black, 40, Western|CLOGS, Black, 40, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|40W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|19|CHC24A02TLT00141W|0000707674|001|Black||||||||7614027457292|IT00|CLOGS, Black, 41, Western|CLOGS, Black, 41, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|41W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|4|CHC24A02TLT27T35W|0000707674|27T|Ginger Brown||||||||7614027457674|IT00|CLOGS, Ginger Brown, 35, Western|CLOGS, Ginger Brown, 35, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|35W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|20|CHC24A02TLT27T36W|0000707674|27T|Ginger Brown||||||||7614027457681|IT00|CLOGS, Ginger Brown, 36, Western|CLOGS, Ginger Brown, 36, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|36W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
BARC|C|Chloé With Image|30*124|30|CHC24A02TLT27T37W|0000707674|27T|Ginger Brown||||||||7614027457698|IT00|CLOGS, Ginger Brown, 37, Western|CLOGS, Ginger Brown, 37, Western|CG|C|CHL|SHINY CALFSKIN|IT|6023055438|CH24|W|37W|W||||||||020|106|100%|||||||||||||||485|281|80%|504|20%|||||||||||||486|106|100%|||||||||||||||490|276|100%|||||||||||||||495|281|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||GE|GE|||||||||||||BOS TAURUS||UA|5028|BOS TAURUS||DK|5028|BOS TAURUS||DK|5059|TRIPLOCHITON SCLEROX||CM|4007||||9056|TRIPLOCHITON SCLEROX||CM|4007|||||||||JEANNETTE|SHINY CALFSKIN|CHC24A02TLT|CLOGS|CH0107001|Y00|||||||||||||||||||||||
